timestamp,name,host,method,avg_ms,min_ms,max_ms,rtts,sent,received,packet_loss_pct,http_status,error
2025-09-26T07:02:21.860182Z,Bing,www.bing.com,http,702.6715999963926,25.0,64.0,"[55, 64, 25, 25]",4,4,0.0,200,
2025-09-26T07:02:25.645989Z,Cloudflare DNS,1.1.1.1,icmp,67.75,48.0,97.0,"[58, 68, 97, 48]",4,4,0.0,,
2025-09-26T07:03:10.739916Z,Google DNS,8.8.8.8,icmp,60.75,42.0,85.0,"[55, 42, 85, 61]",4,4,0.0,,
2025-09-26T07:03:13.845950Z,Google,www.google.com,http,1017.4101000011433,49.0,87.0,"[87, 49, 54, 72]",4,4,0.0,200,
2025-09-26T07:03:17.982482Z,Yahoo,www.yahoo.com,http,1522.1065000077942,255.0,308.0,"[259, 268, 308, 255]",4,4,0.0,429,
2025-09-26T07:03:22.807383Z,Bing,www.bing.com,http,873.8840000005439,27.0,107.0,"[47, 27, 107, 44]",4,4,0.0,200,
2025-09-26T07:03:27.590906Z,Cloudflare DNS,1.1.1.1,icmp,128.25,54.0,177.0,"[169, 177, 113, 54]",4,4,0.0,,
2025-09-26T07:04:10.740359Z,Google DNS,8.8.8.8,icmp,55.75,36.0,68.0,"[36, 68, 53, 66]",4,4,0.0,,
2025-09-26T07:04:13.853137Z,Google,www.google.com,http,942.0422999974107,38.0,85.0,"[63, 66, 85, 38]",4,4,0.0,200,
2025-09-26T07:04:17.880716Z,Yahoo,www.yahoo.com,http,572.4043999944115,24.0,29.0,"[24, 29, 27, 29]",4,4,0.0,429,
2025-09-26T07:04:21.559740Z,Bing,www.bing.com,http,717.6579000079073,28.0,63.0,"[56, 63, 52, 28]",4,4,0.0,200,
2025-09-26T07:04:25.752338Z,Cloudflare DNS,1.1.1.1,icmp,61.75,42.0,74.0,"[68, 63, 74, 42]",4,4,0.0,,
2025-09-26T07:05:10.750807Z,Google DNS,8.8.8.8,icmp,53.0,42.0,74.0,"[42, 74, 52, 44]",4,4,0.0,,
2025-09-26T07:05:13.840017Z,Google,www.google.com,http,1045.4274999938207,40.0,62.0,"[62, 40, 41, 56]",4,4,0.0,200,
2025-09-26T07:05:17.991980Z,Yahoo,www.yahoo.com,http,615.75769999763,69.0,75.0,"[71, 69, 69, 75]",4,4,0.0,429,
2025-09-26T07:05:21.741656Z,Bing,www.bing.com,http,818.295200006105,25.0,41.0,"[26, 30, 25, 41]",4,4,0.0,200,
2025-09-26T07:05:25.661101Z,Cloudflare DNS,1.1.1.1,icmp,65.25,56.0,83.0,"[60, 62, 56, 83]",4,4,0.0,,
2025-09-26T07:06:10.740390Z,Google DNS,8.8.8.8,icmp,68.0,59.0,82.0,"[66, 59, 65, 82]",4,4,0.0,,
2025-09-26T07:06:13.865968Z,Google,www.google.com,http,1016.8987999932142,36.0,92.0,"[92, 36, 47, 61]",4,4,0.0,200,
2025-09-26T07:06:18.004065Z,Yahoo,www.yahoo.com,http,1387.3318999976618,260.0,317.0,"[317, 260, 272, 287]",4,4,0.0,429,
2025-09-26T07:06:22.720959Z,Bing,www.bing.com,http,694.6812999958638,27.0,62.0,"[56, 62, 27, 28]",4,4,0.0,200,
2025-09-26T07:06:26.505812Z,Cloudflare DNS,1.1.1.1,icmp,69.5,57.0,77.0,"[76, 57, 68, 77]",4,4,0.0,,
2025-09-26T07:07:10.741049Z,Google DNS,8.8.8.8,icmp,59.5,50.0,72.0,"[55, 50, 72, 61]",4,4,0.0,,
2025-09-26T07:07:13.854269Z,Google,www.google.com,http,967.5163999927463,38.0,82.0,"[57, 74, 82, 38]",4,4,0.0,200,
2025-09-26T07:07:17.920070Z,Yahoo,www.yahoo.com,http,660.5705999972997,43.0,86.0,"[86, 43, 53, 70]",4,4,0.0,429,
2025-09-26T07:07:21.702476Z,Bing,www.bing.com,http,814.6641000057571,60.0,70.0,"[64, 65, 60, 70]",4,4,0.0,200,
2025-09-26T07:07:25.650608Z,Cloudflare DNS,1.1.1.1,icmp,58.25,42.0,91.0,"[91, 42, 44, 56]",4,4,0.0,,
2025-09-26T07:08:10.740122Z,Google DNS,8.8.8.8,icmp,65.75,38.0,82.0,"[68, 75, 82, 38]",4,4,0.0,,
2025-09-26T07:08:13.822134Z,Google,www.google.com,http,1124.1145999956643,58.0,88.0,"[67, 58, 68, 88]",4,4,0.0,200,
2025-09-26T07:08:18.086042Z,Yahoo,www.yahoo.com,http,605.8330999949249,42.0,86.0,"[86, 43, 42, 61]",4,4,0.0,429,
2025-09-26T07:08:21.803675Z,Bing,www.bing.com,http,616.817500005709,28.0,63.0,"[28, 33, 63, 47]",4,4,0.0,200,
2025-09-26T07:08:25.558204Z,Cloudflare DNS,1.1.1.1,icmp,58.5,43.0,80.0,"[80, 43, 60, 51]",4,4,0.0,,
2025-09-26T07:09:10.740432Z,Google DNS,8.8.8.8,icmp,62.5,40.0,81.0,"[60, 69, 81, 40]",4,4,0.0,,
2025-09-26T07:09:13.824461Z,Google,www.google.com,http,1007.8713000111748,36.0,87.0,"[53, 55, 87, 36]",4,4,0.0,200,
2025-09-26T07:09:17.913637Z,Yahoo,www.yahoo.com,http,673.3299000043189,44.0,91.0,"[91, 50, 44, 58]",4,4,0.0,429,
2025-09-26T07:09:21.694864Z,Bing,www.bing.com,http,711.2855000013951,23.0,57.0,"[57, 23, 23, 31]",4,4,0.0,200,
2025-09-26T07:09:25.484743Z,Cloudflare DNS,1.1.1.1,icmp,55.5,43.0,77.0,"[51, 77, 43, 51]",4,4,0.0,,
2025-09-26T07:10:10.741311Z,Google DNS,8.8.8.8,icmp,53.25,37.0,77.0,"[60, 77, 37, 39]",4,4,0.0,,
2025-09-26T07:10:13.832111Z,Google,www.google.com,http,1028.0320000019856,54.0,65.0,"[54, 63, 64, 65]",4,4,0.0,200,
2025-09-26T07:10:17.980594Z,Yahoo,www.yahoo.com,http,615.8375999948476,25.0,54.0,"[25, 35, 45, 54]",4,4,0.0,429,
2025-09-26T07:10:21.694822Z,Bing,www.bing.com,http,632.4892999982694,24.0,67.0,"[48, 49, 67, 24]",4,4,0.0,200,
2025-09-26T07:10:25.411526Z,Cloudflare DNS,1.1.1.1,icmp,70.75,57.0,79.0,"[75, 72, 57, 79]",4,4,0.0,,
2025-09-26T07:11:10.740546Z,Google DNS,8.8.8.8,icmp,62.25,38.0,87.0,"[74, 87, 38, 50]",4,4,0.0,,
2025-09-26T07:11:13.837508Z,Google,www.google.com,http,866.3265999930445,38.0,67.0,"[38, 45, 47, 67]",4,4,0.0,200,
2025-09-26T07:11:17.826262Z,Yahoo,www.yahoo.com,http,603.1685000052676,25.0,50.0,"[50, 26, 25, 31]",4,4,0.0,429,
2025-09-26T07:11:21.508830Z,Bing,www.bing.com,http,592.8756999928737,24.0,74.0,"[74, 24, 27, 41]",4,4,0.0,200,
2025-09-26T07:11:25.195498Z,Cloudflare DNS,1.1.1.1,http,1347.0529000042006,,,[],4,0,100.0,200,
2025-09-26T08:19:26.926153Z,Google DNS,8.8.8.8,icmp,114.0,44.0,185.0,"[59, 44, 168, 185]",4,4,0.0,,
2025-09-26T08:19:30.546867Z,Google,www.google.com,http,1129.8227999941446,48.0,105.0,"[93, 105, 48, 55]",4,4,0.0,200,
2025-09-26T08:19:34.805144Z,Yahoo,www.yahoo.com,http,898.6308000021381,60.0,78.0,"[60, 68, 71, 78]",4,4,0.0,429,
2025-09-26T08:19:38.860056Z,Bing,www.bing.com,http,903.5830999928294,27.0,53.0,"[27, 31, 33, 53]",4,4,0.0,200,
2025-09-26T08:19:42.883356Z,Cloudflare DNS,1.1.1.1,icmp,79.0,62.0,104.0,"[79, 62, 71, 104]",4,4,0.0,,
2025-09-26T08:20:26.924085Z,Google DNS,8.8.8.8,icmp,73.0,65.0,85.0,"[68, 65, 74, 85]",4,4,0.0,,
2025-09-26T08:20:30.048814Z,Google,www.google.com,http,1046.633899997687,37.0,92.0,"[59, 79, 92, 37]",4,4,0.0,200,
2025-09-26T08:20:34.180295Z,Yahoo,www.yahoo.com,http,1536.2462000048254,39.0,87.0,"[39, 47, 57, 87]",4,4,0.0,429,
2025-09-26T08:20:39.002348Z,Bing,www.bing.com,http,876.3889000110794,29.0,87.0,"[87, 29, 43, 54]",4,4,0.0,200,
2025-09-26T08:20:42.981506Z,Cloudflare DNS,1.1.1.1,icmp,71.0,46.0,91.0,"[46, 76, 91]",4,3,25.0,,
2025-09-26T08:21:26.924903Z,Google DNS,8.8.8.8,icmp,77.75,67.0,90.0,"[82, 67, 72, 90]",4,4,0.0,,
2025-09-26T08:21:30.064960Z,Google,www.google.com,http,1012.9449999949429,41.0,88.0,"[88, 41, 50, 61]",4,4,0.0,200,
2025-09-26T08:21:34.191842Z,Yahoo,www.yahoo.com,http,706.5770000044722,25.0,79.0,"[72, 79, 28, 25]",4,4,0.0,429,
2025-09-26T08:21:37.967588Z,Bing,www.bing.com,http,785.469499998726,29.0,60.0,"[29, 36, 56, 60]",4,4,0.0,200,
2025-09-26T08:21:41.858393Z,Cloudflare DNS,1.1.1.1,icmp,70.25,50.0,90.0,"[62, 79, 90, 50]",4,4,0.0,,
2025-09-26T08:22:26.925147Z,Google DNS,8.8.8.8,icmp,93.0,70.0,127.0,"[82, 70, 127]",4,3,25.0,,
2025-09-26T08:22:30.684669Z,Google,www.google.com,http,1021.0693000117317,37.0,84.0,"[84, 37, 49, 69]",4,4,0.0,200,
2025-09-26T08:22:34.816801Z,Yahoo,www.yahoo.com,http,1388.7451000045985,260.0,333.0,"[291, 301, 260, 333]",4,4,0.0,429,
2025-09-26T08:22:39.601310Z,Bing,www.bing.com,http,704.9845000001369,27.0,90.0,"[90, 27, 32, 43]",4,4,0.0,200,
2025-09-26T08:22:43.406082Z,Cloudflare DNS,1.1.1.1,icmp,73.25,46.0,95.0,"[64, 95, 88, 46]",4,4,0.0,,
2025-09-26T08:23:28.165549Z,Google DNS,8.8.8.8,icmp,72.75,38.0,92.0,"[92, 73, 88, 38]",4,4,0.0,,
